social_id,first_name,last_name,gender,birth_date,sickness_history
17160825,Jeff,Bezos,1,2000-09-30 17:57:22,True
40973341,Elon,Musk,1,1994-04-04 12:20:48,False
51861031,Bernard,Arnault,1,1989-02-27 06:30:45,True
32878289,Bill,Gates,1,1997-10-17 09:32:04,False
56318114,Mark,Zuckerberg,1,1972-06-06 10:11:09,True
45643650,Warren,Buffett,1,1976-05-31 11:24:51,False
96235894,Larry,Page,1,1979-07-17 14:04:37,True
51033746,Sergey,Brin,1,1988-06-23 09:27:07,True
19627416,Larry,Ellison,1,1977-06-05 09:44:30,False
56994357,Steve,Ballmer,1,1975-06-10 16:32:30,True
48750478,Francoise,Bettencourt,,1980-11-21 23:49:30,False
56517184,Amancio,Ortega,1,2002-09-05 19:36:47,True
16063481,Mukesh,Ambani,1,1976-08-16 12:08:59,True
15872,Charles,Koch,1,1972-10-11 04:52:04,True
917872,Julia,Flesher,0,1970-03-26 18:12:07,True
86841779,Zhong,Shanshan,,1974-03-03 22:44:30,True
65279366,Gautam,Adani,1,1999-03-31 11:09:53,True
71865701,Jim,Walton,1,1989-09-10 00:33:13,True
67255961,Rob,Walton,1,1980-10-09 03:29:39,True
4326626,Alice,Walton,0,1985-09-17 20:11:49,True
78088922,Ma,Huateng,,1984-09-19 22:30:14,False
78471294,MacKenzie,Scott,,1996-02-23 00:02:30,False
62108086,Carlos,Slim,1,1989-09-04 07:18:37,True
34404576,Francois,Pinault,,1973-12-11 20:08:57,True
8357114,Phil,Knight,1,1985-07-03 00:04:51,False
43102325,Michael,Dell,1,1995-01-11 14:39:51,True
9670553,Jack,Ma,1,1975-07-22 21:07:02,True
83178723,Jacqueline,Badger,0,1996-10-15 00:54:03,False
69213307,John,Mars,1,1988-11-15 21:41:14,True
79401246,Zhang,Yiming,,1972-02-07 13:45:41,True
13940763,Colin,Huang,1,1988-01-17 01:37:53,False
85178719,Alain,Wertheimer,1,1999-08-02 17:36:35,True
23766555,Gerard,Wertheimer,1,1979-09-24 04:02:06,True
97810262,Tadashi,Yanai,1,1993-10-28 05:29:42,True
1025600,Len,Blavatnik,1,1989-12-10 01:34:43,False
33808869,Giovanni,Ferrero,1,1979-06-05 02:29:51,False
